heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
tempera_simulada,15,10,8,0.000190,1744,99,0.80
tempera_simulada,15,10,9,0.000182,1735,101,0.80
tempera_simulada,15,10,10,0.000203,1763,101,0.80
tempera_simulada,15,10,1,0.000135,1304,99,0.85
tempera_simulada,15,10,2,0.000165,1615,99,0.85
tempera_simulada,15,10,3,0.000128,1238,99,0.85
tempera_simulada,15,10,4,0.000194,1544,101,0.85
tempera_simulada,15,10,5,0.000188,1761,99,0.85
tempera_simulada,15,10,6,0.000152,1434,99,0.85
tempera_simulada,15,10,7,0.000206,1933,99,0.85
tempera_simulada,15,10,8,0.000151,1404,99,0.85
tempera_simulada,15,10,9,0.000293,2145,99,0.85
tempera_simulada,15,10,10,0.000184,1746,99,0.85
tempera_simulada,15,10,1,0.000198,1856,99,0.90
tempera_simulada,15,10,2,0.000132,1142,101,0.90
tempera_simulada,15,10,3,0.000438,4023,99,0.90
tempera_simulada,15,10,4,0.000260,2368,99,0.90
tempera_simulada,15,10,5,0.000320,2709,99,0.90
tempera_simulada,15,10,6,0.000218,1991,99,0.90
tempera_simulada,15,10,7,0.000240,2188,99,0.90
tempera_simulada,15,10,8,0.000143,1358,99,0.90
tempera_simulada,15,10,9,0.000166,1456,101,0.90
